stn,name,lat,lon,elev,anem_height
90,속초,38.25085,128.56473,17.53,10.0
93,북춘천,37.94738,127.75443,95.78,10.0
95,철원,38.14787,127.3042,155.48,13.0
98,동두천,37.90188,127.0607,115.62,10.0
99,파주,37.88589,126.76648,30.59,10.0
100,대관령,37.67713,128.71834,772.43,10.0
101,춘천,37.90262,127.7357,75.82,10.0
102,백령도,37.97396,124.71237,36.0,9.0
104,북강릉,37.80456,128.85535,75.24,10.0
105,강릉,37.75147,128.89099,27.12,10.0
106,동해,37.50709,129.12433,40.46,10.0
108,서울,37.57142,126.9658,85.67,10.0
112,인천,37.47772,126.6249,68.99,10.0
114,원주,37.33749,127.94659,150.11,14.0
115,울릉도,37.48129,130.89863,221.14,10.0
119,수원,37.25746,126.983,39.81,18.7
121,영월,37.18126,128.45743,240.54,10.0
127,충주,36.97045,127.9525,114.85,10.0
129,서산,36.77658,126.4939,25.25,20.2
130,울진,36.99176,129.41278,48.98,10.0
131,청주,36.63924,127.44066,58.7,10.0
133,대전,36.37199,127.3721,67.79,23.7
135,추풍령,36.22025,127.99458,244.98,10.0
136,안동,36.57293,128.70733,141.26,10.0
137,상주,36.40837,128.15741,96.58,10.0
138,포항,36.03201,129.38002,3.94,10.0
140,군산,36.0053,126.76135,27.85,10.0
143,대구,35.87797,128.65296,54.27,10.0
146,전주,35.84092,127.11718,60.44,10.0
152,울산,35.58237,129.33469,81.14,10.0
155,창원,35.17019,128.57282,34.97,10.0
156,광주,35.17294,126.89156,70.28,17.5
159,부산,35.10468,129.03203,69.56,18.0
162,통영,34.84541,128.43561,31.24,18.0
165,목포,34.81732,126.38151,44.7,14.5
168,여수,34.73929,127.74063,65.93,13.0
169,흑산도,34.68719,125.45105,75.12,15.5
170,완도,34.3959,126.70182,35.37,10.0
172,고창,35.34824,126.599,52.42,10.0
174,순천,35.0204,127.3694,165.0,10.0
177,홍성,36.65759,126.68772,27.74,10.0
181,서청주(예),36.63972,127.396944,32.0,10.0
184,제주,33.51411,126.52969,20.79,15.0
185,고산,33.29382,126.16283,71.39,10.0
188,성산,33.38677,126.8802,20.34,10.0
189,서귀포,33.24616,126.5653,51.86,10.0
192,진주,35.16378,128.04004,29.35,10.0
201,강화,37.70739,126.44634,47.84,10.0
202,양평,37.48863,127.49446,47.26,10.0
203,이천,37.26399,127.48421,80.09,10.0
211,인제,38.05986,128.16714,201.78,10.0
212,홍천,37.6836,127.88043,140.2,13.0
216,태백,37.17038,128.98929,714.45,16.0
217,정선군,37.38149,128.6459,307.58,10.0
221,제천,37.15928,128.19433,264.62,10.0
226,보은,36.48761,127.73415,171.31,10.0
232,천안,36.76217,127.29282,84.78,10.0
235,보령,36.32724,126.55744,9.98,10.0
236,부여,36.27242,126.92079,13.42,10.0
238,금산,36.10563,127.48175,170.17,10.0
239,세종,36.48522,127.24438,89.5,10.0
243,부안,35.72961,126.71657,12.2,10.0
244,임실,35.61203,127.28556,247.04,10.0
245,정읍,35.56333,126.83904,68.7,10.0
247,남원,35.4213,127.39652,133.49,10.0
248,장수,35.65696,127.52031,406.87,10.0
251,고창군,35.42661,126.697,58.84,10.0
252,영광군,35.28366,126.47784,37.2,13.0
253,김해시,35.22981,128.89075,54.59,10.0
254,순창군,35.37131,127.1286,129.38,10.0
255,북창원,35.22655,128.6726,50.95,10.0
257,양산시,35.30737,129.02009,6.29,10.0
258,보성군,34.76335,127.21226,1.41,10.0
259,강진군,34.64457,126.78408,16.19,10.0
260,장흥,34.68886,126.91951,43.99,10.0
261,해남,34.55375,126.56907,16.36,10.0
262,고흥,34.61826,127.27572,51.91,10.0
263,의령군,35.32258,128.28812,14.1,10.0
264,함양군,35.51138,127.74538,152.07,10.0
266,광양시,34.9434,127.6914,88.21,10.0
268,진도군,34.47296,126.25846,9.82,10.0
271,봉화,36.94361,128.91449,324.67,10.0
272,영주,36.87183,128.51687,211.32,10.0
273,문경,36.62727,128.14879,173.01,10.0
276,청송군,36.4351,129.04005,208.65,10.0
277,영덕,36.53337,129.40926,40.71,10.0
278,의성,36.3561,128.68864,81.44,10.0
279,구미,36.13055,128.32055,49.17,10.0
281,영천,35.97742,128.9514,96.12,10.0
283,경주시,35.81747,129.20123,40.13,10.0
284,거창,35.66739,127.9099,228.45,10.0
285,합천,35.56505,128.16994,26.72,10.0
288,밀양,35.49147,128.74412,8.31,10.0
289,산청,35.413,127.8791,138.22,10.0
294,거제,34.88818,128.60459,44.83,10.0
295,남해,34.81662,127.92641,45.71,10.0
